Price,District,City,Town,Type,EnergyCertificate,GrossArea,TotalArea,Parking,HasParking,Floor,ConstructionYear,EnergyEfficiencyLevel,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
285000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,190.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,164.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,209.0,,,2.0
285000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,5th Floor,,,,,True,,3.0,,,,185.0,,,2.0
155000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,75.0,1.0,True,6th Floor,2023.0,,,,True,,1.0,,,,94.0,,,1.0
260000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,184.0,,,2.0
260000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,184.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,184.0,,,2.0
240000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,113.0,2.0,True,5th Floor,2023.0,,,,True,,2.0,,,,142.0,,,2.0
450000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,166.0,2.0,True,5th Floor,2023.0,,,,True,,3.0,,,,419.0,,,2.0
310000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,154.0,2.0,True,6th Floor,2023.0,,,,True,,3.0,,,,207.0,,,2.0
167500.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,D,,122.0,1.0,True,5th Floor,2001.0,,,,True,,2.0,,,,98.0,,,2.0
210000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,123.0,2.0,True,1st Floor,2023.0,,,,True,,2.0,,,,223.0,,,2.0
330000.0,Porto,Maia,Águas Santas,Apartment,C,,129.0,2.0,True,1st Floor,1995.0,,,,True,,3.0,,,,129.0,,,3.0
350000.0,Porto,Vila Nova de Gaia,Mafamude e Vilar do Paraíso,Apartment,E,,149.0,1.0,True,1st Floor,1994.0,,,,True,,3.0,,,,140.0,,,3.0
148000.0,Porto,Santo Tirso,"Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",Apartment,,119.0,102.0,1.0,True,1st Floor,2001.0,,,,False,,2.0,,,,102.0,,,1.0
185000.0,Porto,Trofa,Coronado (São Romão e São Mamede),Apartment,C,146.0,130.0,1.0,True,3rd Floor,2000.0,,,,True,,3.0,,,,130.0,,,2.0
138900.0,Porto,Lousada,Torno,Apartment,C,175.0,175.0,0.0,False,1st Floor,1993.0,,,,False,,4.0,,,,133.0,,,0.0
170000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,E,,161.0,0.0,False,3rd Floor,1963.0,,,,False,,1.0,,,,36.0,,,0.0
600000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,D,163.0,163.0,2.0,True,3rd Floor,2000.0,,,,True,,3.0,,,,127.0,,,3.0
395000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,,92.0,91.0,0.0,False,5th Floor,2019.0,,,,False,,3.0,,,,91.0,,,1.0
750000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,B-,222.0,442.0,0.0,False,,1966.0,,,,False,,5.0,,,,212.0,,,6.0
555000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,B-,153.0,153.0,1.0,True,4th Floor,2019.0,,,,True,,4.0,,,,153.0,,,6.0
400000.0,Porto,Porto,Lordelo do Ouro e Massarelos,Apartment,B-,,101.0,1.0,True,Duplex,2014.0,,,,True,,1.0,,,,101.0,,,0.0
400000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,,70.0,0.0,False,1st Floor,2023.0,,,,False,,1.0,,,,66.0,,,1.0
430000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,,76.0,0.0,False,1st Floor,2023.0,,,,False,,1.0,,,,73.0,,,1.0
450000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,,106.0,0.0,False,1st Floor,2023.0,,,,False,,1.0,,,,60.0,,,1.0
480000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,,122.0,0.0,False,1st Floor,2023.0,,,,False,,1.0,,,,64.0,,,1.0
310000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,,52.0,0.0,False,2nd Floor,2023.0,,,,False,,1.0,,,,46.0,,,1.0
790000.0,Porto,Póvoa de Varzim,"Póvoa de Varzim, Beiriz e Argivai",Apartment,B-,500.0,500.0,3.0,True,Top Floor,2007.0,,,,True,,4.0,,,,500.0,,,6.0
269000.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,C,,73.0,1.0,True,3rd Floor,1980.0,,,,True,,2.0,,,,73.0,,,0.0
400000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,D,80.0,80.0,0.0,False,2nd Floor,1984.0,,,,True,,1.0,,,,80.0,,,1.0
365000.0,Porto,Matosinhos,"Perafita, Lavra e Santa Cruz do Bispo",Apartment,B,203.0,1341.0,0.0,False,2nd Floor,2021.0,,,,False,,3.0,,,,138.0,,,3.0
232500.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,63.0,63.0,0.0,False,1st Floor,2018.0,,,,False,,1.0,,,,63.0,,,1.0
280000.0,Porto,Vila Nova de Gaia,Oliveira do Douro,Apartment,A,93.0,67.0,1.0,True,3rd Floor,2020.0,,,,True,,2.0,,,,67.0,,,2.0
325000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A,141.0,141.0,2.0,True,Ground Floor,,,,,True,,2.0,,,,99.0,,,2.0
380000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A,154.0,154.0,2.0,True,2nd Floor,,,,,True,,2.0,,,,118.0,,,2.0
365000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A,168.0,168.0,2.0,True,1st Floor,,,,,True,,2.0,,,,112.0,,,2.0
159900.0,Porto,Santo Tirso,Aves,Apartment,C,,105.0,2.0,True,2nd Floor,2004.0,,,,True,,2.0,,,,105.0,,,2.0
290000.0,Porto,Maia,Águas Santas,Apartment,A,143.0,573.0,2.0,True,3rd Floor,2021.0,,,,True,,2.0,,,,143.0,,,0.0
435000.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,B-,,101.0,1.0,True,1st Floor,2023.0,,,,True,,2.0,,,,101.0,,,3.0
359000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,214.0,149.0,0.0,False,1st Floor,1970.0,,,,True,,3.0,,,,149.0,,,2.0
230000.0,Porto,Marco de Canaveses,Marco,Apartment,C,,215.0,1.0,True,Above 10th Floor,1993.0,,,,True,,5.0,,,,241.0,,,4.0
615000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A+,162.0,108.0,1.0,True,Ground Floor,,,,,True,,2.0,,,,108.0,,,0.0
617500.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A+,,109.0,1.0,True,Ground Floor,,,,,True,,2.0,,,,109.0,,,0.0
225000.0,Porto,Vila Nova de Gaia,São Felix da Marinha,Apartment,B-,,99.0,1.0,True,2nd Floor,2005.0,,,,True,,2.0,,,,99.0,,,2.0
832500.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A+,201.0,157.0,2.0,True,2nd Floor,,,,,True,,2.0,,,,157.0,,,0.0
882500.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A+,209.0,166.0,2.0,True,2nd Floor,,,,,True,,2.0,,,,166.0,,,0.0
842500.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,A+,201.0,157.0,2.0,True,2nd Floor,,,,,True,,2.0,,,,157.0,,,0.0
410000.0,Porto,Maia,Pedrouços,Apartment,B,234.0,159.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,159.0,,,2.0
510000.0,Porto,Maia,Pedrouços,Apartment,B,277.0,159.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,159.0,,,2.0
430000.0,Porto,Maia,Pedrouços,Apartment,B,169.0,142.0,2.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,142.0,,,2.0
430000.0,Porto,Maia,Pedrouços,Apartment,B-,168.0,142.0,2.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,142.0,,,2.0
340000.0,Porto,Porto,Lordelo do Ouro e Massarelos,Apartment,B,57.0,53.0,0.0,False,2nd Floor,2023.0,,,,True,,1.0,,,,53.0,,,1.0
290000.0,Porto,Maia,Águas Santas,Apartment,A,141.0,573.0,1.0,True,2nd Floor,2022.0,,,,True,,2.0,,,,141.0,,,0.0
211900.0,Porto,Porto,Campanhã,Apartment,C,,117.0,1.0,True,2nd Floor,2000.0,,,,True,,4.0,,,,102.0,,,2.0
290000.0,Porto,Maia,Águas Santas,Apartment,A,133.0,573.0,2.0,True,1st Floor,2022.0,,,,True,,2.0,,,,133.0,,,0.0
290000.0,Porto,Maia,Águas Santas,Apartment,A,141.0,573.0,1.0,True,1st Floor,2022.0,,,,True,,2.0,,,,141.0,,,0.0
290000.0,Porto,Maia,Águas Santas,Apartment,A,142.0,573.0,1.0,True,Ground Floor,2022.0,,,,True,,2.0,,,,142.0,,,0.0
804500.0,Porto,Porto,Paranhos,Apartment,C,389.0,282.0,2.0,True,Duplex,2006.0,,,,True,,5.0,,,,190.0,,,4.0
550000.0,Porto,Vila Nova de Gaia,São Felix da Marinha,Apartment,B-,144.0,125.0,1.0,True,2nd Floor,1999.0,,,,True,,3.0,,,,180.0,,,2.0
360000.0,Porto,Maia,Pedrouços,Apartment,B,162.0,142.0,1.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,142.0,,,2.0
254900.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,D,135.0,900.0,2.0,True,1st Floor,2002.0,,,,True,,2.0,,,,101.0,,,2.0
285000.0,Porto,Maia,Águas Santas,Apartment,A,178.0,573.0,1.0,True,Ground Floor,2022.0,,,,True,,2.0,,,,178.0,,,0.0
365000.0,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",Apartment,C,,110.0,1.0,True,1st Floor,1992.0,,,,True,,2.0,,,,110.0,,,2.0
405500.0,Porto,Porto,Paranhos,Apartment,C,183.0,163.0,1.0,True,Ground Floor,2008.0,,,,True,,3.0,,,,134.0,,,3.0
412000.0,Porto,Porto,Paranhos,Apartment,C,206.0,160.0,2.0,True,3rd Floor,2008.0,,,,True,,3.0,,,,126.0,,,3.0
